id,youtube_id,title,comments,description,duration,event,film_date,languages,main_speaker,published_date,speaker_occupation,url,views
87,zjyKc1d_uRE,Casting a spell on the cello,34,"Caroline Lavelle plays the cello like a sorceress casting a spell, occasionally hiding behind her wild mane of blond hair as she sings of pastoral themes. She performs \"Farther than the Sun,\" backed by Thomas Dolby on keyboards.",459,TED2005,1107302400,25,Caroline Lavelle,1175835900,Cellist; singer-songwriter,https://www.ted.com/talks/caroline_lavelle_casts_a_spell_on_cello,398713
88,fjbWr3ODbAo,The illusion of consciousness,501,"Philosopher Dan Dennett makes a compelling argument that not only don't we understand our own consciousness, but that half the time our brains are actively fooling us.",1308,TED2003,1046304000,31,Dan Dennett,1175855580,"Philosopher, cognitive scientist",https://www.ted.com/talks/dan_dennett_on_our_consciousness,2676717
89,IU3V6zNER4g,How to truly listen,296,"In this soaring demonstration, deaf percussionist Evelyn Glennie illustrates how listening to music involves much more than simply letting sound waves hit your eardrums.",1929,TED2003,1044144000,32,Evelyn Glennie,1175881860,Musician,https://www.ted.com/talks/evelyn_glennie_shows_how_to_listen,4165572
90,IoRjz8iTVoo,Cradle to cradle design,231,"Green-minded architect and designer William McDonough asks what our buildings and products would look like if designers took into account \"all children, all species, for all time.\"",1205,TED2005,1107302400,25,William McDonough,1175882580,Architect,https://www.ted.com/talks/william_mcdonough_on_cradle_to_cradle_design,1426390
92,ipfqKyxm5Hc,A mockingbird remix of TED2006,58,Rives recaps the most memorable moments of TED2006 in the free-spirited rhyming verse of a fantastical mockingbird lullaby.,251,TED2006,1138838400,25,Rives,1176163140,"Performance poet, multimedia artist",https://www.ted.com/talks/rives_remixes_ted2006,643078
93,ZrSvWuqLui8,"\"Kiteflyer's Hill\"",75,"Singer/songwriter Eddi Reader performs \"Kiteflyer's Hill,\" a tender look back at a lost love. With Thomas Dolby on piano.",378,TED2003,1044144000,28,Eddi Reader,1176586800,Singer/songwriter,https://www.ted.com/talks/eddi_reader_sings_kiteflyer_s_hill,513672
94,J-brae31GE0,"\"What You've Got\"",50,"Singer/songwriter Eddi Reader performs \"What You Do With What You've Got,\" a meditation on a very TED theme: how to use your gifts and talents to make a difference. With Thomas Dolby on piano.",312,TED2003,1044144000,25,Eddi Reader,1176586800,Singer/songwriter,https://www.ted.com/talks/eddi_reader_sings_about_what_you_ve_got,428351
96,VxGMqKCcN6A,Militant atheism,6404,"Richard Dawkins urges all atheists to openly state their position -- and to fight the incursion of the church into politics and science. A fiery, funny, powerful talk.",1750,TED2002,1012608000,42,Richard Dawkins,1176689220,Evolutionary biologist,https://www.ted.com/talks/richard_dawkins_on_militant_atheism,4374792
98,OmczrIUzL7A,"\"La Vie en Rose\"",39,"Featuring the vocals and mischievous bell-playing of accordionist and singer Rachelle Garniez, the TED House Band -- led by Thomas Dolby on keyboard -- delivers this delightful rendition of the Edith Piaf standard \"La Vie en Rose.\"",201,TED2004,1075680000,33,Rachelle Garniez,1176701700,Musician,https://www.ted.com/talks/thomas_dolby_and_rachelle_garniez,443180
99,CIZAZYsKM84,Technology's long tail,42,"Chris Anderson, then the editor of Wired, explores the four key stages of any viable technology: setting the right price, gaining market share, displacing an established technology and, finally, becoming ubiquitous.",858,TED2004,1075680000,23,Chris Anderson,1177632660,Drone maker,https://www.ted.com/talks/chris_anderson_of_wired_on_tech_s_long_tail,904520
